Device_Manufacturer,Device_ManufacturerBrandName,Device_Model,Device_ModelBrandName,Device_OS,Device_OSBrandName,Device_Language,Device_Locale,Device_ScreenWidth,Device_ScreenHeight,Device_Storage,Device_UsedStorage,Device_FreeStorage,Device_Memory,Device_UsedMemory,Device_FreeMemory,Device_CPU,Device_BatteryLevel,Device_BatteryState,Device_SystemUptime,Device_Speed,Device_Bearing,Device_SIMMCC,Device_SIMMNC,Device_SIMServiceProvider,Device_SIMServiceProviderBrandName,Connection_Start,Connection_End,Connection_Timezone,Connection_Type,Connection_Technology,Connection_GenerationCategory,Connection_MCC,Connection_MNC,Connection_LAC,Connection_CID,Connection_ServiceProvider,Connection_ServiceProviderBrandName,Connection_MobileChannel,Connection_BSIC,Connection_PCI,Connection_BSSID,Connection_SSID,Connection_WifiFrequency,Location_Latitude,Location_Longitude,Location_Altitude,Location_HorizontalAccuracy,Location_VerticalAccuracy,Location_Country,Location_Region,Location_City,Location_Geohash,QOS_Date,QOS_UploadThroughput,QOS_UploadThroughputTestSize,QOS_DownloadThroughput,QOS_DownloadThroughputTestSize,QOS_LatencyAverage,QOS_JitterAverage,QOS_PacketLossLostPercentage,QOS_LinkSpeed,QOS_SignalStrength,QOS_DeltaTransmittedBytes,QOS_DeltaReceivedBytes,QOS_RSRP,QOS_RSRQ,QOS_RSSNR,QOS_CQI,QOS_TA
HUAWEI,Huawei,ALE-L21,ALE-L21,ANDROID60,Android 6.0,sv,SE,1280,720,11289227264,8237289472,3051937792,1948577792,1152843776,795734016,0.17,1.0,Full,31736095,null,null,240,1,Telenor SE,Telia,2017-07-28 16:56:13 UTC,2017-07-28 16:56:34 UTC,7200,UNKNOWN,UNKNOWN,UNKNOWN,240,24,10002,4622,null,Sweden 2G,null,null,null,null,null,null,55.3770004,13.1757418,null,72.0,null,Sweden,Skåne,null,u3c75c463j,2017-07-28 16:56:34 UTC,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null
samsung,Samsung,SM-T113,Galaxy Tab 3 Lite Value Edition,ANDROID44,Android 4.4,tr,TR,1024,600,5716463616,4944658432,771805184,1001459712,628400128,373059584,0.36,0.33000001311302185,Unplugged,353571225,0.4516242742538452,1.606058955192566,null,null,,null,2017-09-25 11:49:51 UTC,2017-09-25 11:57:30 UTC,10800,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,ec:08:6b:98:38:1d,LASWEGAS CLUB,2412,41.03437481955782,28.79210527010538,119.84261306647387,200.0,null,Turkey,Istanbul,Kucukcekmece,sxk3rnjf89,2017-09-25 11:57:30 UTC,null,null,null,null,null,null,null,null,null,7617,15606,null,null,null,null,null
samsung,Samsung,SM-T113,Galaxy Tab 3 Lite Value Edition,ANDROID44,Android 4.4,tr,TR,1024,600,5716463616,5187809280,528654336,1001484288,773632000,227852288,0.4,0.800000011920929,Unplugged,6156871,0.4465100169181824,264.2825012207031,null,null,,null,2017-08-24 10:21:38 UTC,2017-08-24 10:21:45 UTC,28800,UNKNOWN,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,null,null,null,35.24523277806554,33.04215212362436,187.434515470734,32.0,null,Cyprus,Nicosia,null,swr2xbhw3g,2017-08-24 10:21:45 UTC,null,null,null,null,null,null,null,null,null,2481,1252,null,null,null,null,null
samsung,Samsung,SM-T530,Galaxy Tab 4 10.1,ANDROID44,Android 4.4,fr,FR,1280,800,12747141120,12219830272,527310848,1477181440,1307443200,169738240,0.7,0.8700000047683716,Unplugged,13916652,1.25,290.79998779296875,null,null,,null,2017-08-28 19:34:21 UTC,2017-08-29 01:00:34 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,68:a3:78:8e:c5:dc,Freebox-ACB03A,2412,49.64442482,-1.52801687,142.0,10.0,null,France,Normandy,null,gbyfmjrrdx,2017-08-28 19:34:21 UTC,null,null,null,null,null,null,null,72,-37,0,72,null,null,null,null,null
samsung,Samsung,SM-T560,SM-T560,ANDROID44,Android 4.4,tr,TR,1280,800,5570109440,5032464384,537645056,1525452800,1149231104,376221696,0.29,0.7200000286102295,Unplugged,44522299,0.3603726327419281,199.1704864501953,null,null,,null,2017-06-02 21:26:38 UTC,2017-06-02 21:27:23 UTC,10800,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,a0:e4:cb:d7:65:71,TTNET_ZyXEL_XAPK,2447,41.018563617108846,40.51849037501503,180.63688972605652,48.0,null,Turkey,Rize,Rize merkezi,szkc650wmq,2017-06-02 21:27:23 UTC,null,null,null,null,null,null,null,null,null,5606,3570,null,null,null,null,null
samsung,Samsung,SM-T560,SM-T560,ANDROID44,Android 4.4,cs,CZ,1280,800,5570109440,3027836928,2542272512,1525452800,1209786368,315666432,0.01,1.0,Full,732207623,0.16974447667598724,222.96388244628906,null,null,,null,2017-08-09 20:28:04 UTC,2017-08-10 08:48:07 UTC,7200,UNKNOWN,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,null,null,null,49.79141423944198,14.876185736648257,718.0441132924965,400.0,null,Czech Republic,Stredoceský,null,u2fe682802,2017-08-10 02:30:51 UTC,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null
samsung,Samsung,SM-T561,Galaxy Tab E,ANDROID44,Android 4.4,el,GR,1280,800,13547675648,12627152896,920522752,1525444608,870952960,654491648,0.35,0.4300000071525574,Unplugged,394148490,0.16940239071846008,220.17611694335938,null,null,,null,2017-06-19 05:33:22 UTC,2017-06-19 05:34:00 UTC,10800,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,94:a7:b7:2e:dd:06,CYTADD06,2412,38.00946857456216,23.654077259632867,331.22344977539416,128.0,null,Greece,Attica,Chaidari,swbb4r2m5y,2017-06-19 05:34:00 UTC,null,null,null,null,null,null,null,null,null,6771,19653,null,null,null,null,null
BlackBerry,BlackBerry,BBB100-2,null,ANDROID71,Android 7.1,de,DE,1620,1080,23775997952,11464892416,12311105536,2996412416,2096607232,899805184,0.24,0.800000011920929,Unplugged,1164994124,null,null,262,2,1&1,Vodafone,2017-08-14 07:52:27 UTC,2017-08-14 07:52:48 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,38:10:d5:ce:56:07,FRITZ!Box 7490,5180,50.2605055,8.972144,null,26.0,null,Germany,Hesse,null,u0ymujtkdj,2017-08-14 07:52:27 UTC,null,null,null,null,null,null,null,6,-81,2080,1819,null,null,null,null,null
samsung,Samsung,GT-P5200,Galaxy Tab 3 10.1,ANDROID44,Android 4.4,pl,PL,1280,800,12438888448,11377606656,1061281792,971800576,847486976,124313600,1.0,0.6399999856948853,Unplugged,85927929,0.6651512980461121,353.7890319824219,null,null,,null,2017-07-19 13:48:48 UTC,2017-07-19 13:48:53 UTC,7200,UNKNOWN,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,null,null,null,51.72775002377919,19.425684608116377,157.82918603074526,300.0,null,Poland,null,null,u3jy609rgr,2017-07-19 13:48:53 UTC,null,null,null,null,null,null,null,null,null,11398,43267,null,null,null,null,null
samsung,Samsung,SM-E500H,Galaxy E5,ANDROID44,Android 4.4,tr,TR,1280,720,28127670272,15855665152,12272005120,1449889792,1174941696,274948096,0.62,0.5199999809265137,Unplugged,691525421,null,null,286,3,Pttcell,Turk Telekom,2017-07-20 08:20:43 UTC,2017-07-20 12:24:33 UTC,10800,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,fc:4a:e9:66:3f:9c,Kablonet Netmaster-3F97-G,2462,40.17843702,29.08399939,344.0,54.0,null,Turkey,Bursa,Yıldırım,sxhstf6267,2017-07-20 12:23:56 UTC,null,null,null,null,null,null,null,72,-51,1805222,40270874,null,null,null,null,null
