main_ConnectionType,main_ConnectionTechnology,main_ServiceProvider,main_ConnectionStart,main_ConnectionEnd,main_CID,main_LAC,main_BSSID,main_MCC,main_MNC,main_Timezone,main_PCI,main_MobileChannel,main_WifiFrequency,main_BSIC,main_Device_Manufacturer,main_Device_Model,main_Device_OS,main_Device_ScreenResolution_Width,main_Device_ScreenResolution_Height,main_Device_Memory,main_Device_Storage,main_Device_DeviceLanguage,main_QOS_QOSDate,main_QOS_UploadThroughput,main_QOS_DownloadThroughput,main_QOS_Latency_Average,main_QOS_LinkSpeed,main_QOS_SignalStrength,main_QOS_Location_Latitude,main_QOS_Location_Longitude,main_QOS_Location_Altitude,main_QOS_Location_HorizontalAccuracy,main_QOS_Location_VerticalAccuracy,main_QOS_Jitter_Average,main_QOS_PacketLoss_LostPercentage,main_QOS_Velocity_Speed,main_QOS_Velocity_Bearing,main_QOS_DeviceFreeMemory,main_QOS_DeviceCPU,main_QOS_DeviceBatteryLevel,main_QOS_DeviceBatteryState,main_QOS_DeviceFreeStorage,main_QOS_DeltaTransmittedBytes,main_QOS_DeltaReceivedBytes,main_QOS_RSRP,main_QOS_RSRQ,main_QOS_RSSNR,main_QOS_CQI,main_QOS_TA,main_QOS_SystemUptime,main_QOS_DeviceUsedStorage,main_QOS_DeviceUsedMemory,main_Country,main_Region,main_City,main_Geohash,conn_Generation_Category,sp_ServiceProviderBrandName
MOBILE,EVDOA,Boost Mobile,2017-06-06 18:22:07 UTC,2017-06-06 18:22:12 UTC,28339,248,null,null,4183,-25200,null,null,null,null,motorola,XT1031,ANDROID44,1280,720,925384704,5928501248,en,2017-06-06 18:22:07 UTC,null,null,null,null,-85,37.98616136,-121.32100599,-20.0,4.0,null,null,null,null,null,181796864,0.4,0.9599999785423279,Unplugged,807280640,0,0,null,null,null,null,null,49674424,5121220608,743587840,United States,California,Stockton,9qc8p70trt,3G,null
MOBILE,LTE,Verizon Wireless,2017-06-16 22:41:48 UTC,2017-06-16 23:20:53 UTC,850,4,null,null,32,-14400,335,null,null,null,motorola,XT1080,ANDROID44,1280,720,1883463680,11846664192,en,2017-06-16 22:58:46 UTC,null,null,null,null,null,41.5582666,-80.5026862,null,2400.0,null,null,null,null,null,243408896,0.56,0.15000000596046448,Unplugged,4816003072,1624712,38406075,-115,null,null,null,null,92000240,7030661120,1640054784,United States,Pennsylvania,null,dpqu2j7wrq,4G,null
MOBILE,EVDOA,Verizon Wireless,2017-05-12 19:34:02 UTC,2017-05-12 19:34:32 UTC,5937,1,null,null,1015,-14400,null,null,null,null,LGE,LG-VS450PP,ANDROID44,800,480,963866624,2020253696,en,2017-05-12 19:34:32 UTC,null,null,null,null,null,32.16325762,-81.21124252,-35.0,10.0,null,null,null,4.5,115.0999984741211,226238464,0.51,0.23999999463558197,Charging,184573952,2615,1564,null,null,null,null,null,100459477,1835679744,737628160,United States,Georgia,Savannah,djwnzzpu8c,3G,null
MOBILE,EVDOA,,2017-06-29 19:22:10 UTC,2017-06-29 19:22:16 UTC,4964,4,null,null,20,-18000,null,null,null,null,LGE,LGL41C,ANDROID44,800,480,964886528,9305530368,en,2017-06-29 19:22:10 UTC,null,null,null,null,-97,42.09979649,-88.03126719,196.0,21.0,null,null,null,0.75,186.6999969482422,152338432,0.58,1.0,Full,3528892416,132,141,null,null,null,null,null,189699713,5776637952,812548096,United States,Illinois,Rolling Meadows,dp3rsb194f,3G,null
MOBILE,LTE,Verizon Wireless,2017-05-18 06:10:30 UTC,2017-05-18 06:10:36 UTC,4880,5,null,null,32,-14400,74,null,null,null,LGE,VS500PP,ANDROID60,1280,720,1476677632,10102226944,en,2017-05-18 06:10:36 UTC,null,null,null,null,null,39.9228293,-80.070744,null,51.0,null,null,null,null,null,376614912,0.01,0.800000011920929,Charging,6214979584,0,0,null,null,null,null,null,374417638,3887247360,1100062720,United States,Pennsylvania,null,dpp51gwr26,4G,null
UNKNOWN,UNKNOWN,null,2017-06-21 19:08:09 UTC,2017-06-21 19:08:48 UTC,null,209,null,null,4168,-14400,null,null,null,null,zte,N9130,ANDROID44,854,480,927350784,4420440064,en,2017-06-21 19:08:48 UTC,null,null,null,null,null,41.2436128,-77.0113522,null,22.43600082397461,null,null,null,null,null,193630208,0.72,0.25,Unplugged,523505664,547,1309,null,null,null,null,null,66685001,3896934400,733720576,United States,Pennsylvania,Williamsport,dr34xs4j3q,UNKNOWN,null
MOBILE,EHRPD,Virgin Mobile,2017-05-26 20:51:25 UTC,2017-05-26 20:51:33 UTC,38865,207,null,null,4126,-10800,null,null,null,null,kyocera,C6725,ANDROID44,960,540,1427030016,21743173632,en,2017-05-26 20:51:33 UTC,null,null,null,null,null,42.59470193,-82.79145045,197.0,51.0,null,null,null,0.3301514983177185,138.8000030517578,229457920,0.42,0.6600000262260437,Unplugged,13256335360,0,0,null,null,null,null,null,91451939,8486838272,1197572096,United States,Michigan,null,dpt4k41h57,3G,null
UNKNOWN,UNKNOWN,null,2017-06-24 06:28:24 UTC,2017-06-24 06:28:31 UTC,52921,305,null,null,4151,-14400,null,null,null,null,SHARP,306SH,ANDROID44,1280,720,1437073408,4358995968,en,2017-06-24 06:28:31 UTC,null,null,null,null,null,26.72384362,-80.10606474,-19.0,77.0,null,null,null,null,null,310595584,0.57,0.20999999344348907,Unplugged,590962688,0,0,null,null,null,null,null,5620259,3768033280,1126477824,United States,Florida,West Palm Beach,dhz010ut9m,UNKNOWN,null
MOBILE,LTE,,2017-07-22 15:53:14 UTC,2017-07-22 15:53:19 UTC,4680,4,null,null,502,-14400,261,null,null,null,samsung,SM-S903VL,ANDROID60,1920,1080,1788825600,75181445120,en,2017-07-22 15:53:14 UTC,null,null,null,null,-67,37.1189037,-81.4990686,null,20.0,null,null,null,null,null,376184832,0.64,0.6299999952316284,Unplugged,61201117184,0,0,-92,-8,168,null,null,117493877,13980327936,1412640768,United States,Virginia,null,dnw51mq1q1,4G,null
MOBILE,LTE,Verizon Wireless,2017-05-11 15:31:47 UTC,2017-05-11 15:42:33 UTC,337,4,null,null,4192,-14400,220,null,null,null,samsung,SCH-I545,ANDROID50,1920,1080,1895067648,10454171648,en,2017-05-11 15:31:47 UTC,null,null,null,null,-82,27.62481769,-82.54185079,25.0,9.0,null,null,null,3.25,210.3000030517578,525893632,0.62,0.699999988079071,Unplugged,483393536,0,0,-110,-11,36,null,null,97645800,9970778112,1369174016,United States,Florida,null,dhvm1syy5r,4G,null
